"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","some high school","standard","none","71","77","73"
"female","group C","associate's degree","standard","none","48","49","58"
"male","group D","some high school","standard","none","73","67","67"
"male","group C","some high school","free/reduced","none","49","47","42"
"male","group B","some high school","standard","completed","47","54","49"
"male","group D","bachelor's degree","standard","none","82","83","83"
"male","group C","some college","free/reduced","none","62","66","66"
"female","group B","associate's degree","free/reduced","completed","48","70","66"
"female","group B","bachelor's degree","standard","completed","54","70","74"
"male","group E","some college","free/reduced","none","76","63","58"
"female","group B","high school","free/reduced","completed","37","56","58"
"female","group C","master's degree","standard","none","82","79","78"
"male","group D","high school","standard","none","82","88","86"
"female","group C","bachelor's degree","standard","none","84","83","84"
"female","group B","some high school","free/reduced","none","64","76","74"
"male","group D","associate's degree","free/reduced","none","66","55","54"
"male","group D","master's degree","standard","none","76","61","63"
"male","group D","some college","standard","none","43","47","44"
"male","group C","high school","free/reduced","none","59","55","52"
"male","group D","some college","standard","none","89","82","82"
"male","group E","some high school","standard","completed","75","78","77"
"female","group C","associate's degree","standard","none","80","87","84"
"female","group D","master's degree","free/reduced","none","70","79","75"
"female","group B","some college","standard","none","53","62","58"
"male","group C","some high school","standard","none","49","35","38"
"female","group D","high school","standard","completed","69","88","87"
"female","group C","some college","free/reduced","completed","70","85","83"
"male","group D","some college","standard","none","76","73","71"
"male","group C","some high school","standard","completed","75","65","67"
"female","group C","some college","standard","none","75","85","86"
"female","group A","some college","free/reduced","none","74","87","86"
"male","group B","some college","standard","none","79","69","63"
"male","group D","associate's degree","standard","completed","75","62","68"
"male","group C","some high school","standard","none","84","78","76"
"female","group C","some high school","standard","none","70","86","83"
"female","group D","some high school","standard","completed","75","90","95"
"female","group C","some college","standard","none","54","59","55"
"female","group D","master's degree","standard","none","74","95","95"
"female","group C","some high school","free/reduced","none","50","57","58"
"male","group C","some college","standard","completed","88","90","86"
"female","group B","bachelor's degree","standard","none","86","96","92"
"male","group E","high school","standard","none","80","76","63"
"male","group E","associate's degree","standard","none","81","77","74"
"male","group E","high school","free/reduced","none","66","56","56"
"male","group C","bachelor's degree","free/reduced","none","76","75","67"
"male","group C","some high school","free/reduced","none","75","77","70"
"female","group B","some college","standard","completed","68","86","82"
"male","group E","bachelor's degree","standard","none","76","75","67"
"female","group C","some college","standard","completed","66","69","78"
"female","group C","some high school","free/reduced","completed","69","71","76"
"male","group C","high school","free/reduced","none","38","40","34"
"male","group C","master's degree","standard","none","69","57","55"
"female","group D","bachelor's degree","standard","none","59","65","64"
"male","group D","some college","standard","completed","100","100","100"
"male","group B","some high school","free/reduced","none","48","55","43"
"female","group D","bachelor's degree","free/reduced","none","52","57","61"
"female","group C","high school","free/reduced","completed","40","52","58"
"female","group D","bachelor's degree","free/reduced","none","72","92","92"
"female","group D","some high school","free/reduced","none","56","71","70"
"female","group C","associate's degree","standard","none","68","77","75"
"male","group B","high school","standard","completed","78","70","75"
"male","group A","associate's degree","standard","none","72","59","63"
"male","group C","bachelor's degree","free/reduced","completed","88","92","89"
"female","group C","some college","standard","none","82","80","80"
"male","group A","high school","standard","none","82","81","74"
"female","group B","some high school","standard","completed","33","42","47"
"male","group B","high school","standard","none","79","70","65"
"male","group A","associate's degree","standard","completed","81","77","77"
"female","group E","bachelor's degree","free/reduced","none","66","73","71"
"female","group B","master's degree","standard","none","69","72","67"
"male","group B","bachelor's degree","free/reduced","none","53","45","53"
"female","group E","high school","free/reduced","completed","92","92","91"
"female","group A","high school","standard","none","46","62","54"
"female","group C","high school","standard","none","52","57","54"
"male","group E","associate's degree","free/reduced","completed","98","91","90"
"male","group C","some college","standard","completed","82","71","73"
"male","group C","associate's degree","free/reduced","none","78","88","79"
"male","group D","bachelor's degree","standard","completed","85","92","97"
"female","group E","some college","standard","none","65","78","72"
"female","group C","high school","free/reduced","none","46","49","48"
"male","group D","master's degree","standard","none","79","75","71"
"male","group D","master's degree","standard","none","65","56","52"
"female","group E","associate's degree","standard","none","93","98","94"
"female","group B","some high school","free/reduced","completed","61","77","78"
"male","group C","master's degree","free/reduced","completed","57","72","68"
"female","group C","associate's degree","standard","none","72","83","83"
"male","group A","some college","standard","none","84","79","70"
"female","group C","high school","standard","completed","55","64","66"
"male","group E","some high school","standard","none","50","43","43"
"male","group C","bachelor's degree","free/reduced","none","77","84","81"
"male","group C","high school","standard","none","67","59","54"
"female","group B","some high school","free/reduced","none","56","77","70"
"female","group C","associate's degree","standard","completed","58","64","65"
"male","group C","bachelor's degree","free/reduced","none","81","66","77"
"female","group B","some college","free/reduced","none","56","63","59"
"female","group E","bachelor's degree","standard","none","80","79","78"
"male","group C","bachelor's degree","standard","none","60","68","62"
"male","group B","associate's degree","standard","completed","77","85","79"
"male","group E","associate's degree","standard","completed","100","97","92"
"male","group D","some college","free/reduced","completed","61","73","72"
"female","group D","bachelor's degree","free/reduced","completed","46","69","74"
"male","group C","some college","standard","completed","83","71","80"
"male","group C","bachelor's degree","standard","none","74","73","74"
"male","group C","high school","free/reduced","completed","58","54","54"
"female","group B","associate's degree","standard","none","79","87","85"
"female","group A","high school","standard","none","58","67","66"
"female","group C","associate's degree","free/reduced","none","75","87","84"
"male","group C","associate's degree","standard","completed","81","82","87"
"female","group D","bachelor's degree","free/reduced","none","50","63","67"
"female","group B","some college","standard","none","56","68","65"
"male","group B","some high school","standard","completed","64","61","60"
"female","group D","associate's degree","free/reduced","none","59","71","71"
"female","group B","some college","standard","completed","57","66","68"
"male","group E","some high school","free/reduced","none","54","48","40"
"male","group C","high school","free/reduced","completed","49","58","52"
"male","group E","master's degree","standard","completed","95","86","88"
"female","group D","some college","standard","completed","88","95","100"
"female","group D","master's degree","standard","none","50","61","67"
"male","group C","some high school","free/reduced","none","30","24","20"
"female","group D","some high school","standard","none","58","71","63"
"female","group D","bachelor's degree","standard","none","64","70","68"
"male","group B","associate's degree","standard","none","62","60","50"
"female","group E","bachelor's degree","free/reduced","none","68","63","65"
"female","group B","some college","free/reduced","none","51","50","52"
"female","group B","high school","free/reduced","none","60","79","81"
"female","group C","bachelor's degree","standard","none","72","76","79"
"female","group A","some high school","standard","none","52","65","56"
"female","group B","associate's degree","standard","completed","62","65","68"
"female","group E","some high school","standard","none","88","92","88"
"male","group A","associate's degree","free/reduced","completed","65","62","60"
"male","group B","some high school","standard","completed","69","67","60"
"female","group C","some high school","free/reduced","none","43","46","51"
"female","group D","some high school","free/reduced","none","36","61","56"
"female","group E","high school","free/reduced","none","81","92","86"
"female","group D","associate's degree","free/reduced","none","59","69","66"
"female","group C","some college","free/reduced","none","60","71","68"
"female","group E","some college","free/reduced","none","68","78","74"
"female","group C","high school","free/reduced","none","69","75","83"
"female","group E","high school","free/reduced","completed","88","83","84"
"female","group E","high school","standard","none","88","88","81"
"male","group C","some high school","standard","none","60","53","48"
"male","group B","high school","standard","completed","66","63","55"
"female","group C","bachelor's degree","standard","completed","49","71","71"
"male","group D","some college","free/reduced","completed","51","49","55"
"female","group C","high school","standard","completed","68","75","79"
"male","group C","some college","standard","completed","81","66","75"
"male","group D","associate's degree","free/reduced","none","60","62","61"
"female","group D","high school","free/reduced","none","49","60","64"
"female","group B","some high school","free/reduced","none","38","41","47"
"female","group B","some college","standard","none","72","83","81"
"female","group E","bachelor's degree","free/reduced","none","51","54","53"
"male","group D","some college","standard","none","73","76","69"
"female","group D","high school","free/reduced","completed","61","81","80"
"female","group B","associate's degree","standard","none","55","66","62"
"female","group B","some high school","free/reduced","none","34","60","51"
