"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","associate's degree","standard","none","77","80","74"
"female","group C","bachelor's degree","standard","completed","94","100","100"
"female","group B","associate's degree","standard","none","48","60","63"
"male","group C","high school","standard","completed","63","63","65"
"male","group C","high school","standard","completed","53","46","50"
"female","group C","associate's degree","standard","completed","75","90","91"
"male","group E","high school","free/reduced","none","37","36","30"
"female","group D","high school","free/reduced","none","47","60","60"
"female","group C","associate's degree","standard","none","54","61","57"
"female","group B","some high school","standard","none","71","79","80"
"female","group E","associate's degree","standard","none","56","63","63"
"male","group D","some college","free/reduced","none","85","75","71"
"female","group C","some college","free/reduced","completed","43","60","58"
"male","group E","master's degree","standard","none","76","66","59"
"male","group B","associate's degree","standard","none","56","46","45"
"female","group C","bachelor's degree","standard","none","65","62","67"
"male","group C","bachelor's degree","free/reduced","none","43","41","32"
"female","group D","some college","standard","none","47","58","63"
"male","group C","high school","standard","none","59","54","51"
"male","group C","associate's degree","standard","none","76","79","72"
"female","group C","some high school","standard","completed","69","78","82"
"female","group C","high school","standard","completed","60","72","70"
"female","group C","bachelor's degree","free/reduced","none","70","78","79"
"male","group E","associate's degree","standard","completed","100","85","86"
"female","group C","associate's degree","standard","none","74","74","76"
"male","group D","high school","standard","completed","53","58","57"
"female","group B","some high school","standard","none","60","78","66"
"male","group C","high school","standard","none","57","59","58"
"female","group A","bachelor's degree","standard","completed","88","92","99"
"female","group B","associate's degree","standard","none","71","73","75"
"female","group D","some college","free/reduced","none","59","69","67"
"female","group D","some college","standard","none","70","71","72"
"female","group C","some college","free/reduced","completed","64","76","75"
"male","group C","some college","standard","none","74","63","56"
"male","group C","master's degree","standard","none","79","72","78"
"male","group B","high school","standard","none","72","80","71"
"female","group E","some high school","free/reduced","none","53","64","61"
"female","group D","associate's degree","standard","completed","65","74","81"
"female","group C","bachelor's degree","standard","none","84","94","92"
"female","group C","master's degree","free/reduced","none","48","56","54"
"female","group C","some high school","standard","completed","79","94","92"
"female","group B","associate's degree","standard","completed","66","65","78"
"male","group C","some college","free/reduced","none","79","85","75"
"male","group D","some high school","standard","none","76","55","58"
"female","group C","some high school","standard","none","81","92","86"
"female","group D","some college","free/reduced","completed","85","97","100"
"male","group D","some high school","standard","completed","82","85","82"
"male","group D","bachelor's degree","standard","none","87","81","80"
"male","group E","high school","standard","none","86","65","61"
"male","group E","some college","standard","completed","79","69","67"
"male","group C","high school","standard","completed","41","33","31"
"male","group D","some high school","standard","none","91","87","78"
"male","group B","some college","standard","none","57","47","49"
"male","group E","high school","standard","none","74","61","55"
"female","group B","associate's degree","free/reduced","none","53","80","74"
"male","group D","high school","standard","none","52","46","44"
"female","group A","high school","standard","completed","53","76","72"
"female","group D","some college","standard","none","67","69","70"
"female","group D","bachelor's degree","standard","completed","67","80","81"
"male","group D","high school","standard","none","69","59","56"
"male","group E","high school","free/reduced","none","72","67","66"
"female","group A","some high school","standard","none","50","68","61"
"female","group E","some college","standard","completed","92","100","100"
"male","group C","associate's degree","free/reduced","completed","35","50","51"
"male","group C","some high school","standard","completed","92","81","88"
"male","group D","associate's degree","free/reduced","completed","40","42","41"
"male","group C","high school","standard","none","70","70","70"
"female","group D","some college","free/reduced","none","56","71","67"
"male","group B","associate's degree","free/reduced","none","61","55","55"
"male","group D","bachelor's degree","standard","none","59","58","59"
"female","group C","some college","free/reduced","none","67","67","67"
"female","group A","some college","standard","none","66","83","82"
"female","group C","some high school","standard","none","61","63","64"
"female","group D","bachelor's degree","standard","none","51","62","56"
"male","group D","some high school","standard","none","93","87","84"
"male","group A","bachelor's degree","standard","none","70","69","67"
"female","group C","bachelor's degree","free/reduced","completed","65","76","79"
"male","group D","some high school","free/reduced","none","74","66","63"
"female","group B","associate's degree","standard","completed","75","92","92"
"male","group D","some high school","standard","none","76","63","62"
"male","group D","associate's degree","standard","none","52","49","44"
"female","group C","some college","standard","completed","79","97","93"
"male","group C","some college","standard","completed","74","74","71"
"male","group E","some college","standard","completed","100","97","90"
"female","group B","some college","free/reduced","none","78","81","79"
"male","group C","associate's degree","standard","completed","83","85","79"
"female","group B","high school","standard","completed","88","91","91"
"male","group A","some college","free/reduced","completed","66","71","68"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"female","group B","some college","standard","none","56","60","58"
"male","group A","high school","free/reduced","completed","44","42","46"
"female","group C","bachelor's degree","free/reduced","none","56","67","62"
"female","group B","some high school","standard","completed","58","76","76"
"female","group D","bachelor's degree","standard","completed","82","91","91"
"female","group C","bachelor's degree","standard","none","67","72","73"
"female","group B","associate's degree","standard","none","81","87","85"
"male","group D","associate's degree","standard","none","62","55","51"
"male","group A","high school","standard","none","84","83","84"
"female","group D","high school","free/reduced","none","41","54","58"
"male","group A","associate's degree","standard","none","75","70","65"
"female","group B","associate's degree","free/reduced","none","48","56","62"
"female","group B","some college","free/reduced","completed","66","81","79"
"female","group D","some college","standard","completed","54","53","58"
"female","group D","associate's degree","free/reduced","completed","29","41","49"
"female","group B","high school","standard","none","65","77","82"
"male","group D","some college","free/reduced","none","47","44","44"
"male","group C","master's degree","standard","none","99","88","91"
"male","group C","associate's degree","free/reduced","none","62","58","59"
"male","group E","high school","free/reduced","none","51","53","44"
"male","group B","associate's degree","free/reduced","none","37","38","39"
"male","group B","some college","standard","none","25","25","24"
"male","group A","bachelor's degree","standard","none","72","73","67"
"female","group D","some high school","standard","none","75","88","79"
"female","group C","some college","free/reduced","none","35","51","45"
"female","group C","associate's degree","standard","completed","88","100","97"
"female","group B","some high school","standard","none","75","76","76"
"female","group C","some high school","standard","none","78","86","85"
"female","group B","bachelor's degree","standard","completed","67","72","80"
"male","group B","some college","free/reduced","none","55","62","55"
"male","group C","high school","free/reduced","none","36","40","25"
"male","group D","high school","free/reduced","none","58","48","47"
"male","group D","bachelor's degree","free/reduced","none","87","86","87"
"male","group B","high school","standard","none","74","70","63"
"female","group C","associate's degree","free/reduced","none","40","54","52"
"male","group A","high school","standard","none","79","84","74"
"female","group C","master's degree","free/reduced","none","71","82","80"
"female","group C","some high school","standard","none","45","63","52"
"male","group B","associate's degree","free/reduced","none","50","48","39"
"male","group D","some college","free/reduced","completed","81","89","88"
"male","group D","some high school","free/reduced","none","43","52","46"
"female","group C","some high school","standard","completed","78","87","88"
"male","group C","some high school","free/reduced","none","72","78","70"
"female","group B","some college","standard","completed","27","45","42"
"male","group B","associate's degree","free/reduced","none","62","60","54"
"male","group C","associate's degree","standard","completed","67","66","69"
"female","group A","associate's degree","standard","completed","73","77","80"
"male","group B","bachelor's degree","free/reduced","none","56","52","49"
"female","group A","some college","free/reduced","none","58","75","73"
"female","group B","associate's degree","standard","completed","76","96","97"
"female","group E","associate's degree","standard","none","72","76","79"
"male","group B","some college","standard","none","79","63","65"
"male","group C","some high school","standard","none","80","72","69"
"male","group D","master's degree","standard","completed","93","97","99"
"male","group D","bachelor's degree","standard","none","88","90","87"
"male","group D","associate's degree","free/reduced","completed","61","71","74"
"female","group D","high school","standard","completed","51","67","68"
"male","group C","some college","standard","none","96","95","83"
"male","group E","some college","free/reduced","none","65","51","49"
"male","group C","associate's degree","standard","completed","67","66","67"
