"sex","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","id","parent_income","school_location","school_type","race","el_status","home_language","grade","age","close_friends","trusted_adult","mental_health","stress_rating","belonging","ses_score","alcohol_use","marijuana_use","siblings","pets"
"male","master's degree","Standard","none",56.5840772967696,56.044774085385,45.5054708740003,1,72696.5160569233,"Suburban","Public","2 or more","not EL","English",8,13,3,1,"very good",5,"very unwelcome",10,0,0,1,0
"male","high school","Reduced","none",62.9883659551663,56.1662052545585,52.3440445539507,2,38829.6393982322,"Suburban","Public","Latine","not EL","English",6,12,2,0,"very good",5,"very welcome",4.27,0,0,1,1
"male","associate's degree","Reduced","none",32.8237794665335,29.5503936469413,29.2770078273492,3,38687.9034502922,"Urban","Public","2 or more","EL","Other",6,11,5,1,"good",7,"mostly unwelcome",5.91,0,0,3,0
"male","some high school","Free","completed",54.1551389190821,53.9015931638959,43.6480474087098,4,19267.7287759306,"Rural","Charter","Asian","not EL","English",8,13,3,0,"good",8,"very welcome",1,0,0,3,0
"male","high school","Reduced","none",39.6532953279485,35.5764370540722,34.4995787801959,5,40926.2116854614,"Rural","Charter","Latine","not EL","English",6,11,1,0,"very good",6,"mostly welcome",4.27,0,0,2,1
"female","some high school","Reduced","completed",54.4941726804825,53.6125053063081,43.7308379321337,6,41461.4975910984,"Suburban","Public","Asian","not EL","English",7,12,3,1,"excellent",3,"welcome half the time",2.64,1,0,0,3
"female","bachelor's degree","Standard","completed",60.3992869735999,59.4111355649411,48.4229841562823,7,52940.7570432941,"Suburban","Public","Asian","not EL","English",8,13,3,1,"very good",5,"very welcome",9.18,0,0,1,0
"male","some high school","Free","none",38.4283023893894,39.4367374024024,31.4451724154154,8,16158.6186767905,"Urban","Public","Black","EL","French",7,13,4,1,"good",6,"mostly welcome",1,0,0,2,0
"female","associate's degree","Free","none",49.2306238847191,44.0270210747521,41.8234182647852,9,33375.8080395411,"Urban","Public","Latine","not EL","English",6,12,3,1,"excellent",4,"mostly welcome",4.27,0,0,0,0
"male","some college","Reduced","completed",25.5425546453882,23.1257835106367,23.7090123758851,10,40361.8354545052,"Suburban","Public","Black","EL","English",6,12,3,0,"very good",5,"mostly welcome",5.09,0,0,1,1
"female","high school","Free","none",64.1041776850867,62.0919214868412,51.0796652885957,11,16814.6964168433,"Urban","Public","White","not EL","English",7,13,2,1,"poor",9,"very welcome",2.64,1,0,4,0
"female","bachelor's degree","Standard","completed",27.4305813027227,24.7916893847553,25.152797466788,12,69439.6098941452,"Urban","Public","White","not EL","English",6,12,4,1,"good",8,"very unwelcome",9.18,1,0,3,2
"male","associate's degree","Free","none",25.3429463753232,22.9496585664617,23.5563707576001,13,24984.82306932,"Urban","Public","2 or more","EL","Other",6,12,5,1,"very good",6,"very welcome",4.27,0,0,2,0
"male","high school","Reduced","none",88.2870948241146,84.018024844807,69.7489548654994,14,45345.349896538,"Urban","Public","Asian","not EL","English",8,14,3,1,"very good",5,"very welcome",4.27,0,0,1,2
"female","some high school","Free","none",61.4033274644718,54.7676418804163,51.1319562963608,15,32698.3370375399,"Rural","Public","White","not EL","English",6,11,4,0,"very good",5,"very welcome",1,0,0,1,1
"female","some high school","Free","none",82.4869097054348,73.370802681266,67.2546956570972,16,19882.1715755401,"Urban","Public","White","not EL","English",6,12,3,1,"poor",3,"mostly welcome",1,1,0,0,0
"female","bachelor's degree","Standard","completed",67.8600023047397,65.405884386535,53.9517664683303,17,80755.9857160268,"Suburban","Public","Black","not EL","English",7,12,3,1,"very good",5,"very welcome",9.18,0,0,1,5
"male","associate's degree","Free","completed",77.1018406778462,73.5604476569231,61.019054636,18,22501.6608934759,"Rural","Charter","Black","not EL","English",7,12,3,0,"fair",1,"very welcome",4.27,0,0,4,0
"female","associate's degree","Reduced","none",73.1468130825842,70.6589527199273,58.1710923572703,19,44439.3018132848,"Suburban","Public","White","not EL","English",8,13,3,1,"good",7,"mostly welcome",5.91,0,0,3,0
"male","some college","Reduced","none",73.3563123530512,65.3143932526922,60.2724741523332,20,39345.5675795623,"Urban","Public","Latine","EL","English",6,11,2,1,"good",8,"very welcome",5.09,0,0,3,0
"male","some college","Reduced","completed",54.632294595459,53.7343775842285,43.836460572998,21,38612.6176621283,"Urban","Public","Latine","not EL","English",7,13,4,1,"very good",5,"very welcome",5.09,0,0,1,0
"female","high school","Reduced","completed",78.1234185902075,75.0500752266537,61.9767318630998,22,39366.7168177691,"Suburban","Public","White","not EL","English",8,13,1,1,"good",6,"very welcome",4.27,0,0,2,1
"male","high school","Reduced","none",74.9480409307607,71.6600361153771,59.3720312999935,23,38408.9348551255,"Suburban","Public","Asian","not EL","English",7,13,2,0,"poor",3,"very welcome",4.27,0,0,0,1
"female","some college","Free","completed",57.149567210738,56.5437357741806,45.9379043376232,24,30029.157182787,"Urban","Public","White","not EL","English",8,13,3,1,"poor",2,"very welcome",3.45,0,0,4,0
"female","associate's degree","Reduced","completed",62.2827176554534,60.4847508724589,49.6867840894643,25,42896.6507484913,"Rural","Charter","2 or more","not EL","English",7,12,5,0,"very good",5,"very welcome",5.91,0,0,1,0
